nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 8760
Workers: 8 (Recycle every 10 tasks)
[5901/8760] 2025-09-03 06:00 -> AWS: Exists | JAXA: Exists
[5921/8760] 2025-09-04 23:00 -> AWS: Exists | JAXA: N/A
[5941/8760] 2025-09-05 19:00 -> AWS: Exists | JAXA: N/A
[5961/8760] 2025-09-06 15:00 -> AWS: Exists | JAXA: N/A
[5981/8760] 2025-09-07 11:00 -> AWS: Exists | JAXA: N/A
[6001/8760] 2025-09-08 00:00 -> AWS: Exists | JAXA: Exists
[6021/8760] 2025-09-08 06:00 -> AWS: Exists | JAXA: Exists
[6041/8760] 2025-09-09 23:00 -> AWS: Exists | JAXA: N/A
[6061/8760] 2025-09-10 19:00 -> AWS: Exists | JAXA: N/A
[6081/8760] 2025-09-11 15:00 -> AWS: Exists | JAXA: N/A
[6101/8760] 2025-09-12 11:00 -> AWS: Exists | JAXA: N/A
[6121/8760] 2025-09-13 01:00 -> AWS: Exists | JAXA: Exists
[6141/8760] 2025-09-13 07:00 -> AWS: Exists | JAXA: Exists
[6161/8760] 2025-09-14 23:00 -> AWS: Exists | JAXA: N/A
[6181/8760] 2025-09-15 19:00 -> AWS: Exists | JAXA: N/A
[6201/8760] 2025-09-16 15:00 -> AWS: Exists | JAXA: N/A
[6221/8760] 2025-09-17 11:00 -> AWS: Exists | JAXA: N/A
[6241/8760] 2025-09-18 00:00 -> AWS: Exists | JAXA: Exists
[6261/8760] 2025-09-18 06:00 -> AWS: Exists | JAXA: Exists
[6281/8760] 2025-09-19 23:00 -> AWS: Exists | JAXA: N/A
[6301/8760] 2025-09-20 19:00 -> AWS: Exists | JAXA: N/A
[6321/8760] 2025-09-21 15:00 -> AWS: Exists | JAXA: N/A
[6341/8760] 2025-09-22 11:00 -> AWS: Exists | JAXA: N/A
[6361/8760] 2025-09-23 00:00 -> AWS: Exists | JAXA: Exists
[6381/8760] 2025-09-23 06:00 -> AWS: Exists | JAXA: Exists
[6401/8760] 2025-09-24 23:00 -> AWS: Exists | JAXA: N/A
[6421/8760] 2025-09-25 19:00 -> AWS: Exists | JAXA: N/A
[6441/8760] 2025-09-26 15:00 -> AWS: Exists | JAXA: N/A
[6461/8760] 2025-09-27 11:00 -> AWS: Exists | JAXA: N/A
[6481/8760] 2025-09-28 00:00 -> AWS: Exists | JAXA: Exists
[6501/8760] 2025-09-28 06:00 -> AWS: Exists | JAXA: Exists
[6521/8760] 2025-09-29 23:00 -> AWS: Exists | JAXA: N/A
[6541/8760] 2025-09-30 19:00 -> AWS: Exists | JAXA: N/A
[6561/8760] 2025-10-01 15:00 -> AWS: Exists | JAXA: N/A
[6581/8760] 2025-10-02 11:00 -> AWS: Exists | JAXA: N/A
[6601/8760] 2025-10-03 00:00 -> AWS: Exists | JAXA: Exists
[6621/8760] 2025-10-03 06:00 -> AWS: Exists | JAXA: Exists
[6641/8760] 2025-10-04 23:00 -> AWS: Exists | JAXA: N/A
[6661/8760] 2025-10-05 19:00 -> AWS: Exists | JAXA: N/A
[6681/8760] 2025-10-06 15:00 -> AWS: Exists | JAXA: N/A
[6701/8760] 2025-10-07 11:00 -> AWS: Exists | JAXA: N/A
[6721/8760] 2025-10-08 00:00 -> AWS: Exists | JAXA: Exists
[6741/8760] 2025-10-08 06:00 -> AWS: Exists | JAXA: Exists
[6761/8760] 2025-10-09 23:00 -> AWS: Exists | JAXA: N/A
[6781/8760] 2025-10-10 19:00 -> AWS: Exists | JAXA: N/A
[6801/8760] 2025-10-11 15:00 -> AWS: Exists | JAXA: N/A
[6821/8760] 2025-10-12 11:00 -> AWS: Exists | JAXA: N/A
[6841/8760] 2025-10-13 00:00 -> AWS: Exists | JAXA: Exists
[6861/8760] 2025-10-13 06:00 -> AWS: Exists | JAXA: Exists
[6881/8760] 2025-10-14 23:00 -> AWS: Exists | JAXA: N/A
[6901/8760] 2025-10-15 19:00 -> AWS: Exists | JAXA: N/A
[6921/8760] 2025-10-16 15:00 -> AWS: Exists | JAXA: N/A
[6941/8760] 2025-10-17 11:00 -> AWS: Exists | JAXA: N/A
[6961/8760] 2025-10-18 00:00 -> AWS: Exists | JAXA: Exists
[6981/8760] 2025-10-18 06:00 -> AWS: Exists | JAXA: Exists
[7001/8760] 2025-10-19 23:00 -> AWS: Exists | JAXA: N/A
[7021/8760] 2025-10-20 19:00 -> AWS: Exists | JAXA: N/A
[7041/8760] 2025-10-21 15:00 -> AWS: Exists | JAXA: N/A
[7061/8760] 2025-10-22 11:00 -> AWS: Exists | JAXA: N/A
[7081/8760] 2025-10-23 00:00 -> AWS: Exists | JAXA: Exists
[7101/8760] 2025-10-23 06:00 -> AWS: Exists | JAXA: Exists
[7121/8760] 2025-10-24 23:00 -> AWS: Exists | JAXA: N/A
[7141/8760] 2025-10-25 19:00 -> AWS: Exists | JAXA: N/A
[7161/8760] 2025-10-26 15:00 -> AWS: Exists | JAXA: N/A
[7181/8760] 2025-10-27 11:00 -> AWS: Exists | JAXA: N/A
